,0
897,29367
898,30104
899,24886
900,30255
901,24947
902,31589
903,29359
904,29365
905,24976
906,30451
907,30529
908,25086
909,30648
910,29650
911,29985
912,30692
913,30799
914,30833
915,30898
916,30213
917,30494
918,27419
919,27421
920,27399
921,27424
922,29362
923,31200
924,27811
925,27543
926,30708
927,30540
928,25008
929,25011
930,25408
931,25061
932,25010
933,25762
934,30744
935,31348
936,28174
937,27586
938,25052
939,27582
940,25048
941,25050
942,25262
943,31487
944,29916
945,25908
946,31593
947,30178
948,31685
949,30327
950,30994
951,31183
952,30561
953,31122
954,26076
955,25996
956,30946
957,26141
958,26078
959,25907
960,26183
961,26176
962,31223
963,31915
964,30942
965,26106
966,26108
967,26117
968,26284
969,26008
970,26193
971,26286
972,26287
973,26714
974,26502
975,26501
976,26424
977,26427
978,26588
979,26457
980,26867
981,26875
982,26923
983,26688
984,32607
985,32637
986,28560
987,28668
988,28666
989,28669
990,26962
991,26998
992,28659
993,28604
994,27067
995,27167
996,27180
997,33089
998,33090
999,33091
1000,33096
1001,28664
1002,28661
1003,30446
1004,28665
1005,33305
1006,27959
1007,27715
1008,27229
1009,32563
1010,27235
1011,27961
1012,27243
1013,32860
1014,32635
1015,28087
1016,31923
1017,28048
1018,28003
1019,32531
1020,32205
1021,33260
1022,27867
1023,32312
1024,33162
1025,34049
1026,27265
1027,28009
1028,28126
1029,28398
1030,28652
1031,28392
1032,28637
1033,29408
1034,27795
1035,27793
1036,27792
1037,28471
1038,28466
1039,28459
1040,28455
1041,28156
1042,28577
1043,28166
1044,27931
1045,28237
1046,27994
1047,28205
1048,28199
1049,27263
1050,27755
1051,27836
1052,28302
1053,27742
1054,27856
1055,28037
1056,27872
1057,27718
1058,27966
1059,28181
1060,30925
1061,28133
1062,34813
1063,27454
1064,34103
1065,27282
1066,28563
1067,30411
1068,33255
1069,30496
1070,32929
1071,30525
1072,28403
1073,28451
1074,28393
1075,28423
1076,28425
1077,28431
1078,28434
1079,28295
1080,28429
1081,28535
1082,28447
1083,28483
1084,28488
1085,28469
1086,28576
1087,28564
1088,28567
1089,32501
1090,28116
1091,27445
1092,28446
1093,28252
1094,28260
1095,27366
1096,28433
1097,28259
1098,28253
1099,28064
1100,31177
1101,28223
1102,28220
1103,28167
1104,27741
1105,28361
1106,28154
1107,28197
1108,28021
1109,28528
1110,27553
1111,28315
1112,27478
1113,28153
1114,27473
1115,27471
1116,27993
1117,27464
1118,28359
1119,27760
1120,27968
1121,27459
1122,27967
1123,31919
1124,32019
1125,27995
1126,28104
1127,27833
1128,27252
1129,27885
1130,27905
1131,28075
1132,27255
1133,27965
1134,28030
1135,28094
1136,28078
1137,27896
1138,27842
1139,27776
1140,27930
1141,28206
1142,27889
1143,27810
1144,27276
1145,27837
1146,28042
1147,27699
1148,27774
1149,27812
1150,27748
1151,27750
1152,27949
1153,29547
1154,28578
1155,27874
1156,28660
1157,28518
1158,27716
1159,27933
1160,27585
1161,27981
1162,27583
1163,27622
1164,27710
1165,28249
1166,27517
1167,27844
1168,27499
1169,27524
1170,27521
1171,27598
1172,27990
1173,27273
1174,28236
1175,27537
1176,27838
1177,27278
1178,28405
1179,28348
1180,27779
1181,27676
1182,28510
1183,28539
1184,28443
1185,28537
1186,28558
1187,28274
1188,28353
1189,28462
1190,28239
1191,28146
1192,28262
1193,27803
1194,28303
1195,28297
1196,27504
1197,27350
1198,27584
1199,27396
1200,27410
1201,27771
1202,27587
1203,28063
1204,28346
1205,27708
1206,27909
1207,28616
1208,27958
1209,30481
1210,27864
1211,27992
1212,27538
1213,27411
1214,30283
1215,34838
1216,35434
1217,35494
1218,26963
1219,27217
1220,27068
1221,26954
1222,27802
1223,27707
1224,27998
1225,28066
1226,28055
1227,28044
1228,28540
1229,27746
1230,37118
1231,36112
1232,36391
1233,36200
1234,34526
1235,37284
1236,36514
1237,35732
1238,27809
1239,30842
1240,31084
1241,36414
1242,37441
1243,37684
1244,39249
1245,34391
1246,39046
1247,40625
1248,41678
1249,45027
1250,49183
1251,49025
1252,49397
1253,48316
1254,49639
1255,54151
1256,54152
1257,54155
1258,54156
1259,54157
1260,54158
1261,54159
1262,54160
1263,54161
1264,54162
1265,54164
1266,54165
1267,54166
1268,54167
1269,54168
1270,54169
1271,54171
1272,54173
1273,54174
1274,54184
1275,54186
1276,54188
1277,54191
1278,54192
1279,52083
1280,54418
1281,53635
1282,53858
1283,56284
1284,58631
1285,59742
1286,57818
1287,59732
1288,27784
1289,27361
1290,27425
1291,27448
1292,27603
1293,27780
1294,27766
1295,27906
1296,27437
1297,28152
1298,28214
1299,28254
1300,28256
1301,28340
1302,28268
1303,28565
1304,28493
1305,28272
1306,27782
1307,28842
1308,28865
1309,28874
1310,28876
1311,29274
1312,29378
1313,28076
1314,29134
1315,30398
1316,29600
1317,29601
1318,28089
1319,30115
1320,30191
1321,29804
1322,30753
1323,29852
1324,29671
1325,29799
1326,29800
1327,30717
1328,30043
1329,30462
1330,28794
1331,30415
1332,25984
1333,30715
1334,31011
1335,31012
1336,30954
1337,31020
1338,31069
1339,26278
1340,31135
1341,31137
1342,28412
1343,31164
1344,30710
1345,25982
1346,31087
1347,31392
1348,31407
1349,28131
1350,31524
1351,31619
1352,31644
1353,31650
1354,31769
1355,31654
1356,31881
1357,31885
1358,26074
1359,31812
1360,26747
1361,32007
1362,32332
1363,31750
1364,32477
1365,32347
1366,32391
1367,32594
1368,32699
1369,32695
1370,32792
1371,32750
1372,32850
1373,32880
1374,32857
1375,32851
1376,32958
1377,32957
1378,32946
1379,32974
1380,30074
1381,33059
1382,33136
1383,33166
1384,33175
1385,33176
1386,33177
1387,33262
1388,33200
1389,33304
1390,33307
1391,33385
1392,33411
1393,33412
1394,33004
1395,31484
1396,33491
1397,33058
1398,33621
1399,33584
1400,33145
1401,33279
1402,34035
1403,34014
1404,34025
1405,34046
1406,34043
1407,33536
1408,33537
1409,33829
1410,33915
1411,33190
1412,34192
1413,33979
1414,34308
1415,34336
1416,34317
1417,34320
1418,34343
1419,34340
1420,34399
1421,34128
1422,34513
1423,34505
1424,34555
1425,34130
1426,34274
1427,34577
1428,34594
1429,34595
1430,33350
1431,34688
1432,34156
1433,28138
1434,32134
1435,34729
1436,34553
1437,32326
1438,34122
1439,27712
1440,34842
1441,28097
1442,27976
1443,28245
1444,28211
1445,34611
1446,34885
1447,27723
1448,33616
1449,34318
1450,34957
1451,35071
1452,30426
1453,34952
1454,30470
1455,35256
1456,35303
1457,31549
1458,34562
1459,35230
1460,35222
1461,35632
1462,35621
1463,35622
1464,35589
1465,35591
1466,35592
1467,35593
1468,35689
1469,35720
1470,34681
1471,35780
1472,35803
1473,28000
1474,35576
1475,28208
1476,35668
1477,35669
1478,27786
1479,30339
1480,30888
1481,36044
1482,35725
1483,35726
1484,29685
1485,33395
1486,35790
1487,35791
1488,30478
1489,36314
1490,36320
1491,36167
1492,36339
1493,36362
1494,36176
1495,36177
1496,36410
1497,36467
1498,36478
1499,36520
1500,36534
1501,35529
1502,36373
1503,36374
1504,36335
1505,36270
1506,36376
1507,36576
1508,36575
1509,36381
1510,36407
1511,34260
1512,36625
1513,36477
1514,36654
1515,36667
1516,36704
1517,36716
1518,36719
1519,36729
1520,36742
1521,36816
1522,35437
1523,36988
1524,37014
1525,36705
1526,36838
1527,37075
1528,37141
1529,37143
1530,37188
1531,37186
1532,36778
1533,36779
1534,36780
1535,37240
1536,36295
1537,35410
1538,37455
1539,37588
1540,37137
1541,37751
1542,37781
1543,37714
1544,37785
1545,37873
1546,37512
1547,37513
1548,37392
1549,38068
1550,35367
1551,35817
1552,38014
1553,35731
1554,38256
1555,38237
1556,37716
1557,38357
1558,37184
1559,37851
1560,35542
1561,35138
1562,37169
1563,37167
1564,38460
1565,38524
1566,38556
1567,35577
1568,38574
1569,38160
1570,38605
1571,38573
1572,38718
1573,35296
1574,38594
1575,38840
1576,38879
1577,35578
1578,38878
1579,36828
1580,38520
1581,39043
1582,37942
1583,38476
1584,37308
1585,39213
1586,39306
1587,39448
1588,34561
1589,39152
1590,39496
1591,39656
1592,39642
1593,39645
1594,39715
1595,37539
1596,39767
1597,39789
1598,39811
1599,39821
1600,39830
1601,38281
1602,39864
1603,37345
1604,38482
1605,39873
1606,39925
1607,39949
1608,39842
1609,38536
1610,39841
1611,38479
1612,40010
1613,39291
1614,39168
1615,40065
1616,40090
1617,40067
1618,40098
1619,40066
1620,40108
1621,40159
1622,37264
1623,40171
1624,39251
1625,39209
1626,40272
1627,40280
1628,37402
1629,37620
1630,39224
1631,39937
1632,39264
1633,38339
1634,38338
1635,40525
1636,38129
1637,40338
1638,39835
1639,40501
1640,39176
1641,38389
1642,36268
1643,36269
1644,36195
1645,40961
1646,39444
1647,37536
1648,36239
1649,38392
1650,39431
1651,40416
1652,39469
1653,39199
1654,43166
1655,42771
1656,39394
1657,43263
1658,40365
1659,39950
1660,46900
1661,51600
1662,56888
1663,26305
1664,26371
1665,29099
1666,31227
1667,29781
1668,34184
1669,34188
1670,34185
1671,34189
1672,33692
1673,33966
1674,34187
1675,30039
1676,34582
1677,37761
1678,38904
1679,39987
1680,40579
1681,39604
1682,42630
1683,44953
1684,41727
1685,44221
1686,42456
1687,46785
1688,42955
1689,44954
1690,46872
1691,46367
1692,49398
1693,49131
1694,49132
1695,50586
1696,51654
1697,52623
1698,52089
1699,51945
1700,52692
1701,53927
1702,53934
1703,54553
1704,52662
1705,52992
1706,51651
1707,53084
1708,55288
1709,55863
1710,51833
1711,57108
1712,56817
1713,58951
1714,56173
1715,57398
1716,58837
1717,59486
