,0
1016,43088
1017,42868
1018,44686
1019,47056
1020,47927
1021,46771
1022,48261
1023,51314
1024,50127
1025,50297
1026,50538
1027,50228
1028,54831
1029,55761
1030,56510
1031,56731
1032,58641
1033,59783
1034,54445
1035,34417
1036,60074
1037,37131
1038,36749
1039,37677
1040,36539
1041,38501
1042,39689
1043,39399
1044,38030
1045,42259
1046,45653
1047,45748
1048,44924
1049,42756
1050,46015
1051,46038
1052,45101
1053,48947
1054,48950
1055,49777
1056,49828
1057,46778
1058,47509
1059,49256
1060,50638
1061,48675
1062,48921
1063,54253
1064,52820
1065,52132
1066,49963
1067,51511
1068,53339
1069,52553
1070,52831
1071,27071
1072,27759
1073,27546
1074,28718
1075,29667
1076,31932
1077,31567
1078,32765
1079,35551
1080,33434
1081,33980
1082,56929
1083,35067
1084,35097
1085,35096
1086,41203
1087,31625
1088,32112
1089,46323
1090,46501
1091,47736
1092,49427
1093,50230
1094,50218
1095,50369
1096,50994
1097,53862
1098,56580
1099,58187
1100,58791
1101,27713
1102,28092
1103,36787
1104,36036
1105,40115
1106,43458
1107,40114
1108,44884
1109,55227
1110,37770
1111,41814
1112,57096
1113,58573
1114,28784
1115,33021
1116,42629
1117,49470
1118,49471
1119,52418
1120,39453
1121,39479
1122,42891
1123,37627
1124,59192
1125,41266
1126,43250
1127,45333
1128,45484
1129,45098
1130,47660
1131,48063
1132,47912
1133,51613
1134,52126
1135,55154
1136,56322
1137,57764
1138,59359
1139,40947
1140,33814
1141,43096
1142,49325
1143,47604
1144,52422
1145,52842
1146,52919
1147,59049
1148,41362
1149,42531
1150,47437
1151,30403
1152,30420
1153,32978
1154,28572
1155,35749
1156,36616
1157,42009
1158,44939
1159,46559
1160,56396
1161,57257
1162,43718
1163,42960
1164,42980
1165,42981
1166,50816
1167,51584
1168,57103
1169,48461
1170,39367
1171,46037
1172,47610
1173,47935
1174,48625
1175,51973
1176,52990
1177,36143
1178,53331
1179,35219
1180,35897
1181,35679
1182,36850
1183,46320
1184,30345
1185,49437
1186,31874
1187,31105
1188,31008
1189,30546
1190,32013
1191,35873
1192,43419
1193,44030
1194,45294
1195,58081
1196,56596
1197,56474
1198,36246
1199,37237
1200,41069
1201,50912
1202,30871
1203,31842
1204,59331
1205,59229
1206,36226
1207,41461
1208,58896
1209,28981
1210,29322
1211,29282
1212,30884
1213,30661
1214,30591
1215,31037
1216,30286
1217,32075
1218,29835
1219,30791
1220,29652
1221,31038
1222,30628
1223,30447
1224,36277
1225,35603
1226,35606
1227,35609
1228,37438
1229,43300
1230,38830
1231,51274
1232,56496
1233,30742
1234,31366
1235,32870
1236,30062
1237,33666
1238,32127
1239,35896
1240,32065
1241,32054
1242,32105
1243,32066
1244,32111
1245,32114
1246,32109
1247,32067
1248,32605
1249,32118
1250,36130
1251,36131
1252,36138
1253,36140
1254,36141
1255,36146
1256,33196
1257,32107
1258,32108
1259,32116
1260,37454
1261,36958
1262,38486
1263,38802
1264,39081
1265,40544
1266,40559
1267,40916
1268,41023
1269,41024
1270,43939
1271,44352
1272,44897
1273,45276
1274,45751
1275,45794
1276,45996
1277,46171
1278,46321
1279,46332
1280,46505
1281,46615
1282,46739
1283,47086
1284,47111
1285,47131
1286,47186
1287,47275
1288,47324
1289,47649
1290,48074
1291,48075
1292,48084
1293,48110
1294,48117
1295,48197
1296,48313
1297,48337
1298,48338
1299,48346
1300,48351
1301,48362
1302,48370
1303,48646
1304,48574
1305,48591
1306,48975
1307,49106
1308,49122
1309,49134
1310,49562
1311,49587
1312,50070
1313,50101
1314,50118
1315,47402
1316,50128
1317,50392
1318,50162
1319,50246
1320,50304
1321,50322
1322,50328
1323,50365
1324,50693
1325,50779
1326,50780
1327,50842
1328,50847
1329,50938
1330,51075
1331,51275
1332,51785
1333,52872
1334,52879
1335,52911
1336,53277
1337,53671
1338,54208
1339,54442
1340,54548
1341,54615
1342,54766
1343,55073
1344,55249
1345,55689
1346,55927
1347,56006
1348,56430
1349,56575
1350,56688
1351,56883
1352,57020
1353,58160
1354,58196
1355,58247
1356,58288
1357,58308
1358,58309
1359,58310
1360,58305
1361,58406
1362,58793
1363,59374
1364,59496
1365,58279
1366,60141
1367,29490
1368,43683
1369,48425
1370,48551
1371,48549
1372,48552
1373,53890
1374,50542
1375,52103
1376,52179
1377,58626
1378,28979
1379,35613
1380,36134
1381,34911
1382,40367
1383,41006
1384,43819
1385,41352
1386,44513
1387,45141
1388,45390
1389,45806
1390,45813
1391,45854
1392,45916
1393,45906
1394,46307
1395,46305
1396,46551
1397,47130
1398,47293
1399,47442
