Level,topic,doc_ID,p,document
0,30,5,0,46962
0,31,5,0,46962
0,32,5,0,46962
0,33,5,0,46962
0,34,5,0,46962
0,35,5,0,46962
0,36,5,0,46962
0,37,5,0,46962
0,38,5,0,46962
0,39,5,0,46962
0,40,5,0,46962
0,41,5,0,46962
0,42,5,0,46962
0,43,5,0,46962
0,44,5,0,46962
0,45,5,0,46962
0,46,5,0,46962
0,47,5,0,46962
0,48,5,0,46962
0,49,5,0,46962
0,50,5,0,46962
0,51,5,0,46962
0,52,5,0,46962
0,53,5,0,46962
0,54,5,0,46962
0,55,5,0,46962
0,1,6,0.09090909090909091,49766
0,2,6,0,49766
0,3,6,0,49766
0,4,6,0,49766
0,5,6,0,49766
0,6,6,0,49766
0,7,6,0,49766
0,8,6,0,49766
0,9,6,0,49766
0,10,6,0.09090909090909091,49766
0,11,6,0,49766
0,12,6,0.09090909090909091,49766
0,13,6,0,49766
0,14,6,0.09090909090909091,49766
0,15,6,0,49766
0,16,6,0.18181818181818182,49766
0,17,6,0,49766
0,18,6,0,49766
0,19,6,0,49766
0,20,6,0,49766
0,21,6,0,49766
0,22,6,0,49766
0,23,6,0.2727272727272727,49766
0,24,6,0,49766
0,25,6,0,49766
0,26,6,0,49766
0,27,6,0,49766
0,28,6,0.09090909090909091,49766
0,29,6,0.09090909090909091,49766
0,30,6,0,49766
0,31,6,0,49766
0,32,6,0,49766
0,33,6,0,49766
0,34,6,0,49766
0,35,6,0,49766
0,36,6,0,49766
0,37,6,0,49766
0,38,6,0,49766
0,39,6,0,49766
0,40,6,0,49766
0,41,6,0,49766
0,42,6,0,49766
0,43,6,0,49766
0,44,6,0,49766
0,45,6,0,49766
0,46,6,0,49766
0,47,6,0,49766
0,48,6,0,49766
0,49,6,0,49766
0,50,6,0,49766
0,51,6,0,49766
0,52,6,0,49766
0,53,6,0,49766
0,54,6,0,49766
0,55,6,0,49766
0,1,7,0,50166
0,2,7,0,50166
0,3,7,0,50166
0,4,7,0,50166
0,5,7,0,50166
0,6,7,0.14285714285714285,50166
0,7,7,0,50166
0,8,7,0,50166
0,9,7,0,50166
0,10,7,0,50166
0,11,7,0,50166
0,12,7,0.14285714285714285,50166
0,13,7,0,50166
0,14,7,0,50166
0,15,7,0,50166
0,16,7,0,50166
0,17,7,0,50166
0,18,7,0,50166
0,19,7,0,50166
0,20,7,0,50166
0,21,7,0,50166
0,22,7,0.14285714285714285,50166
0,23,7,0.14285714285714285,50166
0,24,7,0,50166
0,25,7,0.14285714285714285,50166
0,26,7,0,50166
0,27,7,0,50166
0,28,7,0,50166
0,29,7,0,50166
0,30,7,0.14285714285714285,50166
0,31,7,0.14285714285714285,50166
0,32,7,0,50166
0,33,7,0,50166
0,34,7,0,50166
0,35,7,0,50166
0,36,7,0,50166
0,37,7,0,50166
0,38,7,0,50166
0,39,7,0,50166
0,40,7,0,50166
0,41,7,0,50166
0,42,7,0,50166
0,43,7,0,50166
0,44,7,0,50166
0,45,7,0,50166
0,46,7,0,50166
0,47,7,0,50166
0,48,7,0,50166
0,49,7,0,50166
0,50,7,0,50166
0,51,7,0,50166
0,52,7,0,50166
0,53,7,0,50166
0,54,7,0,50166
0,55,7,0,50166
0,1,8,0.18181818181818182,50168
0,2,8,0,50168
0,3,8,0,50168
0,4,8,0,50168
0,5,8,0.09090909090909091,50168
0,6,8,0,50168
0,7,8,0,50168
0,8,8,0,50168
0,9,8,0,50168
0,10,8,0,50168
0,11,8,0,50168
0,12,8,0.09090909090909091,50168
0,13,8,0.09090909090909091,50168
0,14,8,0.09090909090909091,50168
0,15,8,0.18181818181818182,50168
0,16,8,0,50168
0,17,8,0,50168
0,18,8,0,50168
0,19,8,0,50168
0,20,8,0,50168
0,21,8,0,50168
0,22,8,0,50168
0,23,8,0.09090909090909091,50168
0,24,8,0,50168
0,25,8,0,50168
0,26,8,0,50168
0,27,8,0,50168
0,28,8,0,50168
0,29,8,0,50168
0,30,8,0.18181818181818182,50168
0,31,8,0,50168
0,32,8,0,50168
0,33,8,0,50168
0,34,8,0,50168
0,35,8,0,50168
0,36,8,0,50168
0,37,8,0,50168
0,38,8,0,50168
0,39,8,0,50168
0,40,8,0,50168
0,41,8,0,50168
0,42,8,0,50168
0,43,8,0,50168
0,44,8,0,50168
0,45,8,0,50168
0,46,8,0,50168
0,47,8,0,50168
0,48,8,0,50168
0,49,8,0,50168
0,50,8,0,50168
0,51,8,0,50168
0,52,8,0,50168
0,53,8,0,50168
0,54,8,0,50168
0,55,8,0,50168
0,1,9,0.058823529411764705,27191
0,2,9,0.11764705882352941,27191
0,3,9,0,27191
0,4,9,0,27191
0,5,9,0.35294117647058826,27191
0,6,9,0,27191
0,7,9,0,27191
0,8,9,0,27191
0,9,9,0,27191
0,10,9,0,27191
0,11,9,0,27191
0,12,9,0.058823529411764705,27191
0,13,9,0,27191
0,14,9,0,27191
0,15,9,0,27191
0,16,9,0,27191
0,17,9,0,27191
0,18,9,0,27191
0,19,9,0,27191
0,20,9,0,27191
0,21,9,0,27191
0,22,9,0,27191
0,23,9,0,27191
0,24,9,0,27191
0,25,9,0,27191
0,26,9,0,27191
0,27,9,0.11764705882352941,27191
0,28,9,0,27191
0,29,9,0,27191
0,30,9,0,27191
0,31,9,0,27191
0,32,9,0.058823529411764705,27191
0,33,9,0.058823529411764705,27191
0,34,9,0.058823529411764705,27191
0,35,9,0.11764705882352941,27191
0,36,9,0,27191
0,37,9,0,27191
0,38,9,0,27191
0,39,9,0,27191
0,40,9,0,27191
0,41,9,0,27191
0,42,9,0,27191
0,43,9,0,27191
0,44,9,0,27191
0,45,9,0,27191
0,46,9,0,27191
0,47,9,0,27191
0,48,9,0,27191
0,49,9,0,27191
0,50,9,0,27191
0,51,9,0,27191
0,52,9,0,27191
0,53,9,0,27191
0,54,9,0,27191
0,55,9,0,27191
0,1,10,0.07142857142857142,27225
0,2,10,0.14285714285714285,27225
0,3,10,0,27225
0,4,10,0,27225
0,5,10,0.35714285714285715,27225
0,6,10,0,27225
0,7,10,0,27225
0,8,10,0,27225
