,0
1046,26183
1047,26176
1048,31223
1049,31915
1050,30942
1051,26106
1052,26108
1053,26117
1054,26284
1055,26008
1056,26193
1057,26286
1058,26287
1059,26714
1060,26502
1061,26501
1062,26424
1063,26427
1064,26588
1065,26457
1066,26867
1067,26875
1068,26923
1069,26688
1070,32607
1071,32637
1072,28560
1073,28668
1074,28666
1075,28669
1076,26962
1077,26998
1078,28659
1079,28604
1080,27067
1081,27167
1082,27180
1083,33089
1084,33090
1085,33091
1086,33096
1087,28664
1088,28661
1089,30446
1090,28665
1091,33305
1092,27959
1093,27715
1094,27229
1095,32563
1096,27235
1097,27961
1098,27243
1099,32860
1100,32635
1101,28087
1102,31923
1103,28048
1104,28003
1105,32531
1106,32205
1107,33260
1108,27867
1109,32312
1110,33162
1111,34049
1112,27265
1113,28009
1114,28126
1115,28398
1116,28652
1117,28392
1118,28637
1119,29408
1120,27795
1121,27793
1122,27792
1123,28471
1124,28466
1125,28459
1126,28455
1127,28156
1128,28577
1129,28166
1130,27931
1131,28237
1132,27994
1133,28205
1134,28199
1135,27263
1136,27755
1137,27836
1138,28302
1139,27742
1140,27856
1141,28037
1142,27872
1143,27718
1144,27966
1145,28181
1146,30925
1147,28133
1148,34813
1149,27454
1150,34103
1151,27282
1152,28563
1153,30411
1154,33255
1155,30496
1156,32929
1157,30525
1158,28403
1159,28451
1160,28393
1161,28423
1162,28425
1163,28431
1164,28434
1165,28295
1166,28429
1167,28535
1168,28447
1169,28483
1170,28488
1171,28469
1172,28576
1173,28564
1174,28567
1175,32501
1176,28116
1177,27445
1178,28446
1179,28252
1180,28260
1181,27366
1182,28433
1183,28259
1184,28253
1185,28064
1186,31177
1187,28223
1188,28220
1189,28167
1190,27741
1191,28361
1192,28154
1193,28197
1194,28021
1195,28528
1196,27553
1197,28315
1198,27478
1199,28153
1200,27473
1201,27471
1202,27993
1203,27464
1204,28359
1205,27760
1206,27968
1207,27459
1208,27967
1209,31919
1210,32019
1211,27995
1212,28104
1213,27833
1214,27252
1215,27885
1216,27905
1217,28075
1218,27255
1219,27965
1220,28030
1221,28094
1222,28078
1223,27896
1224,27842
1225,27776
1226,27930
1227,28206
1228,27889
1229,27810
1230,27276
1231,27837
1232,28042
1233,27699
1234,27774
1235,27812
1236,27748
1237,27750
1238,27751
1239,27763
1240,27949
1241,29547
1242,28578
1243,27874
1244,28660
1245,28518
1246,27716
1247,27933
1248,27585
1249,27981
1250,27583
1251,27622
1252,27710
1253,28249
1254,27517
1255,27844
1256,27499
1257,27524
1258,27521
1259,27598
1260,27990
1261,27273
1262,28236
1263,27537
1264,27838
1265,27278
1266,28405
1267,28348
1268,27779
1269,27676
1270,28510
1271,28539
1272,28443
1273,28537
1274,28558
1275,28274
1276,28353
1277,28462
1278,28239
1279,28146
1280,28262
1281,27803
1282,28303
1283,28297
1284,27504
1285,27350
1286,27584
1287,27396
1288,27410
1289,27771
1290,27587
1291,28063
1292,28346
1293,27708
1294,27909
1295,28616
1296,27958
1297,30481
1298,27864
1299,27992
1300,27538
1301,27411
1302,30283
1303,34838
1304,35434
1305,35494
1306,26963
1307,27217
1308,27068
1309,26954
1310,27802
1311,27707
1312,27998
1313,28066
1314,28055
1315,28044
1316,28540
1317,27746
1318,37118
1319,36112
1320,36391
1321,36200
1322,34526
1323,37284
1324,36514
1325,35732
1326,27809
1327,30842
1328,31084
1329,36414
1330,37441
1331,37684
1332,39249
1333,34391
1334,39046
1335,40625
1336,41678
1337,45027
1338,49183
